AccessTime
Accessibility
Add
Airplane
Alert
AlertOff
AlertOn
AlertSnooze
AlertUrgent
AppFolder
AppStore
AppTitle
Apps
AppsAddIn
AppsList
Archive
ArrowDown
ArrowDownLeft
ArrowLeft
ArrowNext
ArrowPrevious
ArrowRight
ArrowUpRight
Attach
Backspace
Badge
Battery0
Battery1
Battery2
Battery3
Battery4
Battery5
Battery6
Battery7
Battery8
Battery9
BatteryCharge
BatterySaver
Bed
Bluetooth
BluetoothConnected
BluetoothDisabled
BluetoothSearching
Board
Bookmark
Bot
BotAdd
BroadActivityFeed
Building
Calendar
Calendar3Day
CalendarAdd
CalendarAgenda
CalendarCancel
CalendarDate
CalendarDay
CalendarEmpty
CalendarMonth
CalendarWeekStart
CallAdd
CallEnd
CallForward
CallInbound
CallMissed
CallOutbound
CallPark
Camera
CameraAdd
Cast
Cellular3G
Cellular4G
CellularData1
CellularData2
CellularData3
CellularData4
CellularData5
CellularOff
Channel
Chat
CheckboxChecked
CheckboxUnchecked
Checkmark
CheckmarkCircle
ChevronDown
ChevronLeft
ChevronRight
ChevronUp
Class
Classification
ClearFormatting
Clock
ClosedCaption
Cloud
CloudOff
Code
Color
Comment
Compose
ConferenceRoom
Connector
ContactCard
ContactCardGroup
Copy
DarkTheme
DataUsage
Delete
Desktop
DeveloperBoard
DeviceEq
Dialpad
DialpadOff
Directions
Dismiss
DismissCircle
DividerShort
DividerTall
Dock
DockRow
Document
DocumentCopy
DocumentSearch
DoubleSwipeDown
DoubleSwipeUp
DoubleTapSwipeDown
DoubleTapSwipeUp
Drafts
Edit
Emoji
EmojiAdd
EmojiAngry
EmojiSad
EmojiSurprise
ExtendedDock
FastAcceleration
FastForward
Filter
Fingerprint
Flag
FlagOff
Flash
FlashOff
Folder
FolderAdd
FolderLink
Food
Gesture
Gif
Gift
Glance
Globe
Grid
Guest
Headphones
Headset
Heart
Highlight
History
Home
Image
ImageAdd
ImmersiveReader
Important
Info
IosChevronRight
Key
Keyboard
Laptop
LauncherSettings
Layer
Library
Lightbulb
Link
List
Live
LocalLanguage
Location
Mail
MailAdd
MailInbox
MailRead
MailUnread
Map
MatchAppLayout
MeetNow
Megaphone
MegaphoneOff
Mention
MicOff
MobileOptimized
MoreVertical
MyLocation
Navigation
NetworkCheck
New
News
Note
Notebook
NotebookError
NotebookLightning
NotebookQuestionMark
NotebookSection
NotebookSync
Notepad
Open
OpenFolder
Organization
Pair
Patient
Pause
People
PeopleAdd
PeopleCommunity
PeopleCommunityAdd
PeopleSearch
PeopleTeam
Person
PersonAccounts
PersonAdd
PersonAvailable
PersonDelete
PersonFeedback
PersonTentative
PersonVoice
Phone
PhoneLinkSetup
PhonePageHeader
PhonePagination
PhoneScreenTime
PhoneStatusBar
PhoneUpdate
PhoneVerticalScroll
PhoneVibrate
PhotoFilter
Pin
Play
Poll
Power
Premium
Presenter
Print
QrCode
RadioButton
ReOrder
ReadAloud
Rename
ResizeImage
ResizeVideo
Reward
Rewind
Save
SaveCopy
Scan
Screenshot
Search
SelectAllOff
Send
SendCopy
Settings
Shapes
Share
ShareAndroid
ShareCloseTray
ShareIos
Shield
Shifts
ShiftsTeam
SignOut
Signature
Sleep
Snooze
SoundSource
Speaker0
Speaker1
SpeakerBluetooth
SpeakerOff
SpeakerSettings
Star
StarOff
Status
Sticker
Storage
StyleGuide
SwipeDown
SwipeRight
SwipeUp
System
Table
Tablet
Tabs
Tag
TapDouble
TapSingle
TextBold
TextBulletList
TextColor
TextEditStyle
TextFontSize
TextIndentDecrease
TextIndentIncrease
TextNumberList
TextQuote
TextStrikethrough
TextUnderline
TimePicker
Timeline
TopSpeed
Translate
Trophy
UninstallApp
Video
VideoClip
VideoOff
VideoPlayPause
Voicemail
Warning
WeatherBlowingSnow
WeatherCloudy
WeatherDuststorm
WeatherFog
WeatherHailDay
WeatherHailNight
WeatherMoon
WeatherPartlyCloudyDay
WeatherPartlyCloudyNight
WeatherRain
WeatherRainShowersDay
WeatherRainShowersNight
WeatherRainSnow
WeatherSnow
WeatherSnowShowerDay
WeatherSnowShowerNight
WeatherSnowflake
WeatherSqualls
WeatherSunny
WeatherThunderstorm
WebAsset
Whiteboard
WiFi1
WiFi2
WiFi3
WiFi4
ArrowUp
Autocorrect
CameraSwitch
Certificate
Clipboard
ClipboardText
Collections
Cookies
Crop
CropInterim
CropInterimOff
Drag
FlashAuto
FlashlightOff
FolderOpen
FontDecrease
FontIncrease
FontSpaceTrackingIn
FontSpaceTrackingOut
GlobeAdd
HeadsetVr
Incognito
InkingTool
KeyboardDock
KeyboardLayoutFloat
KeyboardLayoutOneHandedLeft
KeyboardLayoutResize
KeyboardLayoutSplit
KeyboardTab
LightbulbCircle
LockShield
Midi
Multiselect
NumberRow
Payment
PhoneDesktop
PhoneTablet
Predictions
ReadingList
ReadingListAdd
SearchSquare
Spacebar
StarAdd
StickerAdd
SubGrid
SurfaceHub
Symbols
Tab
TabInPrivate
Teddy
Text
TextAdd
Thinking
TimeAndWeather
UsbStick
ViewDesktop
ViewDesktopMobile
Scratchpad
InPrivateAccount
AppGeneric
AppRecent
ArrowUpLeft
ArrowsBidirectional
Fps240
Fps960
Games
GroupList
MoviesAndTv
PointScan
ReadingModeMobile
Timer
Timer10
Timer2
TimerOff
Wallpaper
XboxConsole
DeleteOff
Hdr
SurfaceEarbuds
Temperature
BatteryWarning
EraserTool
Lasso
AddCircle
ErrorCircle
Flashlight
